PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,HZ
HD 100623 A_0,HD 100623 A,0.88,0.37,4.014,8.448,2.503,0.105,21,False
HD 101501_7,HD 101501,0.94,0.609,0.888,0.333,0.887,0.054,9,True
HD 102365_0,HD 102365,1.02,0.844,1.154,11.472,2.235,0.024,36,True
HD 10360_1,HD 10360,0.78,0.345,0.559,0.063,0.525,0.036,15,True
HD 10360_2,HD 10360,0.78,0.345,3.873,7.34,2.182,0.13,21,False
HD 10361_1,HD 10361,0.77,0.304,0.761,2.715,1.303,0.025,24,True
HD 10361_2,HD 10361,0.77,0.304,0.985,0.596,0.785,0.066,17,False
HD 10780_0,HD 10780,0.9,0.516,0.841,1.181,1.077,0.11,27,True
HD 10780_3,HD 10780,0.9,0.516,2.25,1.367,1.348,0.098,15,False
HD 10780_4,HD 10780,0.9,0.516,2.669,12.001,2.513,0.102,21,False
HD 109358_0,HD 109358,1.08,1.151,0.599,0.193,0.661,0.064,36,False
HD 114710_0,HD 114710,1.11,1.357,1.415,0.147,0.681,0.117,3,True
HD 114710_4,HD 114710,1.11,1.357,0.861,0.439,0.898,0.053,36,False
HD 115617_1,HD 115617,0.97,0.825,0.76,6.157,2.931,0.09,20,True
HD 115617_2,HD 115617,0.97,0.825,0.621,0.059,0.562,0.047,36,False
HD 115617_5,HD 115617,0.97,0.825,2.098,3.177,1.487,0.045,26,False
HD 128167_0,HD 128167,1.39,3.182,1.283,1.29,1.15,0.14,16,False
HD 128167_4,HD 128167,1.39,3.182,1.323,2.477,1.923,0.044,14,False
HD 128620_0,HD 128620,1.11,1.521,1.567,0.738,0.945,0.074,9,True
HD 128620_1,HD 128620,1.11,1.521,1.266,6.221,1.198,0.016,27,True
HD 128621_0,HD 128621,0.94,0.503,0.181,0.281,0.591,0.076,36,False
HD 128621_4,HD 128621,0.94,0.503,1.135,1.502,1.179,0.055,20,True
HD 131156 A_0,HD 131156 A,0.96,0.553,0.922,6.027,2.426,0.01,36,True
HD 131156 A_1,HD 131156 A,0.96,0.553,1.097,4.971,1.932,0.147,31,True
HD 131977_0,HD 131977,0.72,0.223,2.114,3.47,1.305,0.033,26,False
HD 136352_2,HD 136352,1.02,1.029,0.995,3.519,1.549,0.082,18,True
HD 136352_3,HD 136352,1.02,1.029,3.774,4.78,2.041,0.069,15,False
HD 136352_4,HD 136352,1.02,1.029,1.831,0.342,0.826,0.068,4,False
HD 141004_0,HD 141004,1.09,2.004,2.629,8.518,2.901,0.092,21,False
HD 142373_0,HD 142373,1.08,3.136,1.268,0.148,0.757,0.168,18,False
HD 142373_4,HD 142373,1.08,3.136,1.161,2.536,1.265,0.006,23,False
HD 142373_7,HD 142373,1.08,3.136,1.878,6.816,2.611,0.051,17,True
HD 142373_8,HD 142373,1.08,3.136,3.092,7.326,1.805,0.053,36,False
HD 142860_5,HD 142860,1.25,3.039,0.92,8.017,2.443,0.074,18,False
HD 143761_4,HD 143761,0.97,1.812,1.096,0.895,0.808,0.157,8,False
HD 143761_7,HD 143761,0.97,1.812,2.609,12.289,2.154,0.089,8,False
HD 147513_6,HD 147513,1.07,1.001,1.743,2.912,1.796,0.075,24,False
HD 149661_5,HD 149661,0.87,0.462,3.155,7.428,2.936,0.051,26,False
HD 155885_0,HD 155885,0.85,0.332,0.424,0.365,1.08,0.016,9,False
HD 155885_4,HD 155885,0.85,0.332,2.293,0.685,0.991,0.052,8,False
HD 155886_1,HD 155886,0.85,0.327,0.511,0.549,0.698,0.064,36,True
HD 155886_3,HD 155886,0.85,0.327,1.253,7.774,2.915,0.044,36,False
HD 155886_7,HD 155886,0.85,0.327,0.59,16.163,3.352,0.079,36,True
HD 155886_8,HD 155886,0.85,0.327,3.879,16.445,2.635,0.087,3,False
HD 156026_0,HD 156026,0.68,0.158,3.18,14.895,3.171,0.093,36,False
HD 156026_1,HD 156026,0.68,0.158,0.564,0.042,0.509,0.081,8,True
HD 156026_3,HD 156026,0.68,0.158,1.001,7.224,2.318,0.06,36,False
HD 156026_5,HD 156026,0.68,0.158,1.693,9.407,2.972,0.124,36,False
HD 1581_1,HD 1581,1.11,1.262,1.541,10.663,2.633,0.046,27,True
HD 1581_3,HD 1581,1.11,1.262,1.491,10.6,2.76,0.126,24,True
HD 160691_4,HD 160691,1.0,1.899,2.415,2.687,1.777,0.073,8,False
HD 160691_6,HD 160691,1.0,1.899,2.937,6.338,2.424,0.058,6,False
HD 165341 A_3,HD 165341 A,0.88,0.532,0.642,1.833,1.615,0.027,22,True
HD 165341 B_4,HD 165341 B,0.78,0.164,0.76,2.374,1.137,0.117,12,False
HD 165499_4,HD 165499,1.08,1.731,1.569,24.497,3.377,0.062,18,True
HD 166_0,HD 166,0.94,0.647,1.592,2.182,1.08,0.09,20,False
HD 16895 A_0,HD 16895 A,1.21,2.246,3.595,7.544,2.816,0.047,10,False
HD 16895 A_5,HD 16895 A,1.21,2.246,1.554,9.969,3.144,0.05,29,True
HD 17206_0,HD 17206,1.21,2.617,1.742,1.25,0.885,0.09,5,True
HD 17206_1,HD 17206,1.21,2.617,0.879,5.781,2.253,0.039,12,False
HD 17925_2,HD 17925,0.82,0.401,0.735,0.945,0.938,0.099,11,True
HD 17925_4,HD 17925,0.82,0.401,0.848,1.901,1.424,0.062,13,True
HD 185144_1,HD 185144,0.87,0.434,0.747,0.019,0.5,0.07,4,True
HD 185144_3,HD 185144,0.87,0.434,0.688,4.389,2.317,0.135,35,True
HD 187691 A_1,HD 187691 A,1.25,2.835,2.61,1.386,1.018,0.091,4,True
HD 187691 A_3,HD 187691 A,1.25,2.835,2.018,10.557,2.654,0.038,21,True
HD 190248_1,HD 190248,0.94,1.25,1.11,3.629,1.408,0.055,30,True
HD 190360_0,HD 190360,0.96,1.165,0.922,3.759,1.79,0.17,9,False
HD 190360_3,HD 190360,0.96,1.165,3.632,10.267,2.733,0.139,6,False
HD 192310_0,HD 192310,0.77,0.404,1.267,0.14,0.641,0.07,8,False
HD 192310_1,HD 192310,0.77,0.404,1.472,7.674,2.73,0.082,36,False
HD 192310_2,HD 192310,0.77,0.404,0.631,13.411,2.544,0.109,31,True
HD 19373_0,HD 19373,1.08,2.23,0.74,9.93,3.212,0.034,21,False
HD 19373_2,HD 19373,1.08,2.23,0.724,3.085,1.483,0.048,17,False
HD 19373_3,HD 19373,1.08,2.23,0.676,1.075,1.037,0.061,11,False
HD 19373_7,HD 19373,1.08,2.23,2.87,2.945,1.622,0.048,10,False
HD 201091_1,HD 201091,0.68,0.142,1.051,0.293,0.699,0.108,19,False
HD 201091_4,HD 201091,0.68,0.142,2.241,8.159,3.013,0.067,15,False
HD 201092_1,HD 201092,0.63,0.078,2.708,8.514,2.37,0.059,21,False
HD 202560_0,HD 202560,0.59,0.083,0.846,2.013,1.59,0.075,30,False
HD 202560_1,HD 202560,0.59,0.083,0.552,0.125,0.674,0.052,36,False
HD 202560_3,HD 202560,0.59,0.083,0.867,3.604,1.589,0.117,36,False
HD 202560_6,HD 202560,0.59,0.083,0.414,0.225,0.785,0.085,36,True
HD 203608_0,HD 203608,1.14,1.466,2.203,3.488,1.79,0.092,21,False
HD 203608_2,HD 203608,1.14,1.466,2.74,1.189,1.086,0.062,8,False
HD 203608_6,HD 203608,1.14,1.466,0.526,0.486,0.985,0.072,4,False
HD 20630_1,HD 20630,0.98,0.857,0.648,4.726,1.547,0.142,35,False
HD 20766_0,HD 20766,1.01,0.794,1.336,3.092,1.674,0.161,23,True
HD 20766_4,HD 20766,1.01,0.794,1.915,0.441,0.912,0.031,15,False
HD 20794_1,HD 20794,0.97,0.654,2.398,2.525,1.302,0.095,6,False
HD 20807_1,HD 20807,1.07,1.017,1.546,0.846,0.954,0.069,21,True
HD 209100_1,HD 209100,0.72,0.222,1.218,0.224,0.54,0.094,9,False
HD 209100_11,HD 209100,0.72,0.222,0.917,2.417,1.174,0.107,24,False
HD 209100_2,HD 209100,0.72,0.222,0.989,7.679,1.925,0.073,36,False
HD 209100_4,HD 209100,0.72,0.222,3.542,11.464,2.632,0.022,36,False
HD 209100_5,HD 209100,0.72,0.222,0.635,0.965,0.931,0.076,36,True
HD 209100_6,HD 209100,0.72,0.222,1.701,1.719,0.885,0.082,10,False
HD 209100_8,HD 209100,0.72,0.222,2.097,10.973,2.488,0.099,36,False
HD 209100_9,HD 209100,0.72,0.222,0.782,6.298,2.297,0.071,36,False
HD 210302_4,HD 210302,1.25,2.918,1.629,5.061,1.727,0.122,15,True
HD 212330 A_0,HD 212330 A,1.02,2.726,1.747,9.208,3.281,0.031,24,True
HD 216803_1,HD 216803,0.72,0.196,3.539,5.879,2.035,0.087,21,False
HD 216803_4,HD 216803,0.72,0.196,2.738,12.08,2.631,0.038,35,False
HD 217987_0,HD 217987,0.49,0.036,3.278,17.272,3.1,0.032,35,False
HD 219134_0,HD 219134,0.75,0.266,1.298,11.197,3.021,0.068,36,False
HD 219134_2,HD 219134,0.75,0.266,0.475,2.244,1.279,0.085,15,True
HD 219134_3,HD 219134,0.75,0.266,2.999,4.52,1.913,0.067,21,False
HD 219134_5,HD 219134,0.75,0.266,1.823,4.144,1.09,0.052,26,False
HD 219134_7,HD 219134,0.75,0.266,0.986,3.449,2.277,0.056,36,False
HD 22484_1,HD 22484,1.14,3.068,1.12,7.679,1.996,0.109,20,False
HD 23249_1,HD 23249,0.87,2.941,2.348,3.029,1.487,0.031,3,True
HD 26965 A_1,HD 26965 A,0.86,0.41,0.482,2.403,1.38,0.058,36,False
HD 26965 A_2,HD 26965 A,0.86,0.41,0.345,0.06,0.5,0.049,34,False
HD 30495_0,HD 30495,1.04,0.966,1.934,1.288,0.989,0.08,15,False
HD 30652_2,HD 30652,1.25,2.71,1.418,7.047,1.563,0.081,18,True
HD 30652_3,HD 30652,1.25,2.71,3.27,5.731,2.129,0.133,15,False
HD 30652_4,HD 30652,1.25,2.71,2.754,10.16,2.49,0.119,15,False
HD 32147_2,HD 32147,0.75,0.29,3.272,2.786,1.942,0.062,21,False
HD 33262 A_4,HD 33262 A,1.14,1.466,1.015,9.306,2.255,0.091,16,True
HD 33262 A_6,HD 33262 A,1.14,1.466,0.874,0.257,0.646,0.139,12,False
HD 34411_1,HD 34411,1.08,1.732,1.539,0.713,0.897,0.078,21,True
HD 34411_3,HD 34411,1.08,1.732,1.691,0.808,0.798,0.074,13,True
HD 3651 A_0,HD 3651 A,0.86,0.532,0.818,0.195,1.086,0.09,10,True
HD 37394_11,HD 37394,0.88,0.478,1.171,5.91,2.415,0.065,36,False
HD 37394_16,HD 37394,0.88,0.478,2.623,9.008,2.621,0.055,21,False
HD 37394_3,HD 37394,0.88,0.478,1.245,2.038,1.502,0.044,19,False
HD 37394_9,HD 37394,0.88,0.478,0.863,0.552,0.726,0.077,6,True
HD 39091_5,HD 39091,1.08,1.533,1.437,1.974,1.31,0.051,36,True
HD 43386_1,HD 43386,1.33,2.957,1.141,2.873,1.584,0.101,12,False
HD 4614 A_1,HD 4614 A,1.14,1.252,0.651,0.235,0.728,0.133,20,False
HD 4614 A_2,HD 4614 A,1.14,1.252,2.584,2.842,1.361,0.017,26,False
HD 4628_6,HD 4628,0.78,0.3,1.476,4.324,1.942,0.055,25,False
HD 46588 A_0,HD 46588 A,1.18,1.826,1.961,5.123,1.375,0.092,11,True
HD 46588 A_7,HD 46588 A,1.18,1.826,1.085,5.584,1.256,0.088,1,False
HD 50692_0,HD 50692,1.08,1.293,3.95,10.297,2.831,0.04,30,False
HD 53705_1,HD 53705,1.04,1.49,2.604,16.05,3.306,0.083,36,False
HD 53705_2,HD 53705,1.04,1.49,1.597,13.971,2.478,0.089,18,True
HD 55575_0,HD 55575,1.14,1.463,1.084,0.186,0.727,0.09,6,True
HD 58855_0,HD 58855,1.16,2.445,3.917,11.124,2.746,0.055,36,False
HD 65907 A_1,HD 65907 A,1.11,1.29,1.316,3.131,0.982,0.075,11,True
HD 65907 A_2,HD 65907 A,1.11,1.29,1.009,5.136,1.202,0.058,17,True
HD 693_3,HD 693,1.18,2.997,1.448,3.042,1.975,0.069,24,True
HD 693_4,HD 693,1.18,2.997,1.744,2.348,1.392,0.105,16,True
HD 693_5,HD 693,1.18,2.997,2.909,2.794,1.423,0.1,1,False
HD 72905_3,HD 72905,1.08,0.973,0.899,19.234,2.776,0.099,2,True
HD 72905_4,HD 72905,1.08,0.973,0.923,2.24,1.407,0.214,10,False
HD 7570_2,HD 7570,1.14,2.004,1.977,3.716,1.73,0.063,18,True
HD 86728 A_4,HD 86728 A,1.0,1.378,3.143,16.709,2.985,0.15,30,False
HD 86728 A_6,HD 86728 A,1.0,1.378,2.84,3.621,2.462,0.137,33,False
HD 88230_0,HD 88230,0.63,0.103,1.858,3.961,1.413,0.024,26,False
HD 88230_1,HD 88230,0.63,0.103,0.369,14.391,2.613,0.102,12,True
HD 88230_2,HD 88230,0.63,0.103,0.941,0.079,0.511,0.058,5,False
HD 88230_3,HD 88230,0.63,0.103,1.397,3.057,1.541,0.055,29,False
HD 88230_4,HD 88230,0.63,0.103,0.683,0.221,0.831,0.12,21,False
HD 88230_5,HD 88230,0.63,0.103,2.552,2.912,1.594,0.09,21,False
HD 95128_4,HD 95128,1.07,1.577,2.15,6.511,1.218,0.173,3,False
HD 95735_0,HD 95735,0.44,0.02,0.673,1.876,0.901,0.041,26,False
HD 95735_2,HD 95735,0.44,0.02,0.392,0.252,0.638,0.078,23,False
HD 95735_3,HD 95735,0.44,0.02,0.164,1.655,0.847,0.146,16,True
HD 95735_4,HD 95735,0.44,0.02,2.481,2.402,1.454,0.023,21,False
HD 95735_6,HD 95735,0.44,0.02,0.163,2.764,1.008,0.047,9,True
