HIPName,HDName,RA,DEC,V,SpecType,L,M,Dist,R,Teff,Z,Binary
HIP 42438,HD 72905,129.7987692,65.0209064,5.63,G0.5V Fe-0.5,0.9731952935922782,1.08,14.4388,0.946,5893,-0.07,False
HIP 47080,HD 82885 A,143.9145925,35.8101325,5.402,G9-IV-V Hdel1,0.7839710037491973,0.94,11.2348,0.969,5518,0.34,True
HIP 47592,HD 84117,145.5600675,-23.9155672,4.914,F9V,1.9774249066066036,1.14,14.9515,1.233,6163,-0.06,False
HIP 48113,HD 84737,147.1473806,46.0210074,5.086,G0(V),2.7951170539918446,1.08,18.8226,1.604,5893,0.1,False
HIP 49081,HD 86728 A,150.252737,31.9236703,5.378,G4IV,1.3778438433514533,1.0,14.9263,1.186,5743,0.2,False
HIP 49908,HD 88230,152.8422498,49.4542364,6.55,K7V,0.10275429881178112,0.63,4.8706,0.636,4097,0.21,False
HIP 51459,HD 90839,157.6565803,55.9805388,4.82,F8V,1.6050922580968905,1.18,12.9452,1.111,6164,-0.12,False
HIP 53721,HD 95128,164.8665531,40.4302557,5.037,G1.5IV-V Fe-1,1.5768849201219266,1.07,13.8875,1.21,5880,0.02,False
HIP 54035,HD 95735,165.8341451,35.9698823,7.421,M2V,0.019934254564980936,0.44,2.5461,0.363,3601,-0.42,False
HIP 56452,HD 100623 A,173.6228602,-32.8313397,5.956,K0-V,0.3699985311728595,0.88,9.559,0.751,5196,-0.4,False
HIP 56997,HD 101501,175.2625678,34.2016338,5.308,G8V,0.6089757514677298,0.94,9.5762,0.862,5491,-0.05,False
HIP 57443,HD 102365,176.6294689,-40.5003572,4.893,G2V,0.8439175140304758,1.02,9.3195,0.97,5618,-0.31,False
HIP 61317,HD 109358,188.4356011,41.3574781,4.26,G0V,1.1510654010359689,1.08,8.4727,1.034,5878,-0.2,False
HIP 64394,HD 114710,197.9683076,27.878184,4.23,F9.5V,1.3570629696239858,1.11,9.1975,1.079,5996,0.06,False
HIP 64924,HD 115617,199.6013083,-18.3111938,4.735,G6.5V,0.8254675398117309,0.97,8.5344,0.982,5552,-0.01,False
HIP 71284,HD 128167,218.6700724,29.7451271,4.465,F4VkF2mF1,3.1819987155303116,1.39,15.756,1.306,6745,-0.41,False
HIP 71681,HD 128621,219.8960963,-60.8375276,1.35,K1V,0.5030370810846251,0.94,1.3319,0.859,5244,0.24,True
HIP 71683,HD 128620,219.9020583,-60.8339927,0.002,G2V,1.5208976890520451,1.11,1.3319,1.231,5776,0.2,True
HIP 72659,HD 131156 A,222.8474519,19.1004499,4.54,G8-V,0.5530953407403112,0.96,6.7536,0.823,5487,-0.14,True
HIP 73184,HD 131977,224.36667,-21.4154798,5.724,K4V,0.22253585780465168,0.72,5.8864,0.732,4632,0.02,False
HIP 73996,HD 134083,226.8252747,24.8691943,4.94,F5V,3.2546178349804586,1.33,19.536,1.451,6435,-0.02,False
HIP 75181,HD 136352,230.4506246,-48.3176305,5.655,G2.5V Hdel1,1.0289635722967538,1.02,14.7391,1.046,5685,-0.34,False
HIP 77052,HD 140538 A,236.0075774,2.5151668,5.869,G5V,0.834065197408663,0.94,14.7927,0.942,5682,0.05,True
HIP 77257,HD 141004,236.6108925,7.3530687,4.422,G0-V(k),2.0035491464007595,1.09,11.9159,1.356,5898,-0.01,False
HIP 77760,HD 142373,238.168921,42.4515175,4.608,G0V Fe+0.4,3.1361729165129875,1.08,15.8975,1.742,5820,-0.47,False
HIP 78072,HD 142860,239.1132612,15.6616168,3.843,F6V,3.0387851820611798,1.25,11.2537,1.47,6285,-0.18,False
HIP 78459,HD 143761,240.2610854,33.303511,5.41,G0IV,1.8121744376590239,0.97,17.5108,1.328,5812,-0.22,False
HIP 79672,HD 146233,243.9052928,-8.3694395,5.496,G3+V,1.0942082880366821,1.02,14.1369,1.041,5785,0.03,False
HIP 80337,HD 147513,246.0053797,-39.1929805,5.37,G1V CH-0.4(k),1.000691014168259,1.07,12.8923,0.968,5868,0.05,False
HIP 81300,HD 149661,249.0893737,-2.324587,5.764,K0V(k),0.4621681360922446,0.87,9.8939,0.818,5262,0.03,False
HIP 84405,HD 155886,258.8365985,-26.6016992,5.07,K1V,0.32749147555557895,0.85,5.9523,0.724,5132,-0.22,True
HIP 84405,HD 155885,258.8374326,-26.602826,5.11,K1V,0.33204733579750695,0.85,5.9478,0.725,5144,-0.22,True
HIP 84478,HD 156026,259.0556767,-26.5461491,6.295,K5V(k),0.15750705089261627,0.68,5.9537,0.66,4476,-0.21,False
HIP 84720,HD 156274 A,259.7659898,-46.6362334,5.472,G9V,0.451647904929112,0.9,8.7911,0.817,5235,-0.35,False
HIP 86796,HD 160691,266.0362631,-51.8340532,5.124,G3V,1.8988908421013633,1.0,15.6042,1.383,5761,0.29,False
HIP 88601,HD 165341 A,271.363535,2.5001463,4.22,K0-V,0.5317408188271431,0.88,5.1133,0.865,5298,0.06,True
HIP 88601,HD 165341 B,271.3644289,2.498947,6.061,K4V,0.1643236223702557,0.78,5.1225,0.674,4475,0.03,True
HIP 89042,HD 165499,272.6089738,-62.00222,5.469,G0V,1.7314103128901543,1.08,17.7532,1.238,5951,-0.07,False
HIP 96100,HD 185144,293.0899592,69.6611766,4.672,K0V,0.43411020970734543,0.87,5.7639,0.782,5298,-0.21,False
HIP 97675,HD 187691 A,297.7568487,10.4157201,5.122,F8V,2.8346536334896673,1.25,19.4881,1.491,6134,0.12,False
HIP 98767,HD 190360,300.9058545,29.8968035,5.745,G7V,1.1654670508371974,0.96,16.0035,1.162,5563,0.22,False
HIP 99240,HD 190248,302.1817036,-66.1820674,3.556,G8IV-V,1.2499711805783704,0.94,6.0993,1.198,5576,0.35,False
HIP 99825,HD 192310,303.8224641,-27.0329754,5.73,K2+V,0.40401733537300044,0.77,8.8116,0.818,5087,0.03,False
HIP 104214,HD 201091,316.7247483,38.7494173,5.211,K5V,0.14236394038164882,0.68,3.4966,0.637,4441,-0.13,False
HIP 104217,HD 201092,316.730266,38.742044,6.043,K7V,0.07778574221271509,0.63,3.4964,0.551,4107,-0.21,False
HIP 105090,HD 202560,319.3136211,-38.8673622,6.69,M0V,0.08300418697157011,0.59,3.9696,0.64,3874,-0.01,False
HIP 105858,HD 203608,321.6108541,-65.3661981,4.229,F9V Fe-1.4 CH-0.7,1.4655478409559115,1.14,9.2584,1.086,6095,-0.7,False
HIP 108870,HD 209100,330.8402234,-56.7859786,4.674,K4V(k),0.22181964198002188,0.72,3.6384,0.728,4641,-0.13,False
HIP 109422,HD 210302,332.5365841,-32.5484084,4.94,F6V,2.918098853741841,1.25,18.4579,1.405,6364,0.1,False
HIP 110649,HD 212330 A,336.2348695,-57.7974559,5.318,G2IV-V,2.7264654585290065,1.02,20.3398,1.717,5660,-0.03,False
HIP 113283,HD 216803,344.100219,-31.565564,6.446,K4Ve,0.1963360276836047,0.72,7.6015,0.697,4601,0.04,False
HIP 114046,HD 217987,346.4668158,-35.8530709,7.33,M1.0V,0.03649219610094713,0.49,3.2871,0.47,3680,-0.22,True
HIP 114622,HD 219134,348.320729,57.1683566,5.54,K3V,0.26588877307050823,0.75,6.5418,0.723,4874,0.06,False
HIP 544,HD 166,1.6532667,29.0215035,6.093,G8V,0.6472916429993274,0.94,13.7662,0.889,5491,0.11,False
HIP 910,HD 693,2.8160752,-15.4679779,4.895,F8V Fe-0.8 CH-0.5,2.9970914863070446,1.18,18.8861,1.505,6190,-0.36,False
HIP 1599,HD 1581,5.0177443,-64.8747937,4.223,F9.5V,1.2618275345906707,1.11,8.6071,1.063,5932,-0.21,False
HIP 3093,HD 3651 A,9.8408558,21.2504758,5.863,K0.5V,0.5319857509170658,0.86,11.1081,0.898,5203,0.14,False
HIP 3583,HD 4391,11.4399705,-47.5519841,5.795,G5V Fe-0.8 CH-1,0.9234215382714596,0.98,15.0487,0.924,5887,-0.04,False
HIP 3765,HD 4628,12.0957332,5.2806137,5.729,K2V,0.30019261222416926,0.78,7.4352,0.728,5007,-0.26,False
HIP 3821,HD 4614 A,12.2762275,57.8151773,3.444,F9V,1.2519875206248816,1.14,5.0098,1.068,5907,-0.28,False
HIP 3909,HD 4813,12.5316207,-10.6443289,5.176,F7V,1.780737891703294,1.21,15.923,1.153,6208,-0.12,False
HIP 5862,HD 7570,18.7963393,-45.5316646,4.966,F9V Fe+0.4,2.0035491464007595,1.14,15.2609,1.263,6110,0.16,False
HIP 7751,HD 10361,24.9481863,-56.1964481,5.876,K2V,0.30387851820611794,0.77,8.1965,0.703,5111,-0.19,False
HIP 7751,HD 10360,24.9492196,-56.1933179,5.764,K2V,0.3453822385498232,0.78,8.1894,0.775,5025,-0.24,False
HIP 7981,HD 10476,25.6240105,20.2685127,5.241,K1V,0.45352371345144543,0.85,7.6439,0.828,5204,-0.04,False
HIP 8102,HD 10700,26.0170131,-15.9374799,3.496,G8V,0.5057082049785994,0.94,3.6522,0.826,5356,-0.51,False
HIP 8362,HD 10780,26.9368101,63.8525031,5.626,G9V,0.5159409511903312,0.9,10.0411,0.834,5358,0.03,False
HIP 12653,HD 17051,40.6394444,-50.8002931,5.395,F9V Fe+0.3,1.7374007313857673,1.14,17.3572,1.158,6157,0.15,False
HIP 12777,HD 16895 A,41.0499442,49.2284485,4.1,F7V,2.246466775991865,1.21,11.1501,1.273,6263,0.01,False
HIP 12843,HD 17206,41.2758283,-18.5726228,4.465,F7V,2.6169775679700726,1.21,14.2764,1.345,6330,0.07,False
HIP 13402,HD 17925,43.1338674,-12.7697133,6.038,K1.5V(k),0.4009590312277196,0.82,10.3605,0.78,5199,0.07,False
HIP 14632,HD 19373,47.2667471,49.6132784,4.05,G0V,2.2304885593776103,1.08,10.5774,1.404,5952,0.09,False
HIP 15330,HD 20766,49.4423477,-62.5753201,5.513,G2IV,0.7943282347242815,1.01,12.0447,0.911,5710,-0.23,False
HIP 15371,HD 20807,49.553412,-62.5063624,5.232,G1V,1.016950935115944,1.07,12.0394,0.983,5847,-0.23,False
HIP 15457,HD 20630,49.8404013,3.3701986,4.85,G5V,0.857235208208406,0.98,9.2762,0.946,5709,0.04,False
HIP 15510,HD 20794,49.9818788,-43.069782,4.258,G6V,0.6543347723737579,0.97,6.0414,0.913,5432,-0.39,False
HIP 16852,HD 22484,54.2182654,0.4016645,4.291,F9IV-V,3.067608976917937,1.14,13.9204,1.623,5996,-0.08,False
HIP 17378,HD 23249,55.8120856,-9.7633919,3.537,K0+IV,2.941033693747308,0.87,9.0888,2.245,5045,0.09,False
HIP 19849,HD 26965 A,63.8179984,-7.6528697,4.415,K0.5V,0.40973210981354147,0.86,5.0098,0.809,5133,-0.29,False
HIP 22263,HD 30495,71.9012154,-16.9344557,5.489,G1.5V(n),0.9662733460365993,1.04,13.24,0.962,5833,0.0,False
HIP 22449,HD 30652,72.4600454,6.9612745,3.184,F6V,2.710191631890843,1.25,8.0684,1.321,6443,0.03,False
HIP 23311,HD 32147,75.2041639,-5.7536734,6.202,K3+V,0.29020173193802257,0.75,8.844,0.776,4810,0.31,False
HIP 23693,HD 33262 A,76.377732,-57.4727047,4.701,F9V Fe-0.5,1.4662229061058072,1.14,11.6927,1.064,6158,-0.18,False
HIP 24813,HD 34411,79.7853144,40.0990514,4.705,G1.5V,1.7318090307501144,1.08,12.5625,1.279,5854,0.06,False
HIP 25278,HD 35296,81.106097,17.3835351,5.009,F8V,1.7778699932105126,1.18,14.5792,1.182,6131,0.01,False
HIP 26394,HD 39091,84.2911952,-80.4691207,5.666,G0V,1.5332041990349141,1.08,18.2874,1.153,5982,0.09,False
HIP 26779,HD 37394,85.334732,53.481058,6.2,K1V,0.4776392414964195,0.88,12.2701,0.843,5226,0.1,False
HIP 27072,HD 38392,86.1105697,-22.4218374,6.142,K2.5V,0.27964045493982026,0.81,8.8916,0.719,4950,-0.14,False
HIP 27072,HD 38393,86.1157942,-22.4483855,3.596,F6.5V,2.344228815319922,1.23,8.905,1.28,6313,-0.08,False
HIP 29650,HD 43042,93.7119848,19.1564479,5.2,F5.5IV-V,2.9356210961914226,1.29,21.7763,1.335,6539,0.03,True
HIP 29800,HD 43386,94.1109129,12.2721632,5.04,F5V,2.9566505650829424,1.33,19.5879,1.364,6480,-0.03,False
HIP 32439,HD 46588 A,101.5589581,79.5648107,5.44,F8V,1.8259967490749676,1.18,18.2023,1.17,6204,-0.1,False
HIP 33277,HD 50692,103.8277765,25.3756954,5.763,G0V,1.2933021513395706,1.08,17.4047,1.08,5924,-0.12,False
HIP 34065,HD 53705,105.9888134,-43.608035,5.56,G1.5V,1.4897040552577114,1.04,17.0593,1.213,5790,-0.22,False
HIP 35136,HD 55575,108.9589132,47.2399634,5.559,F9V,1.4628506869998534,1.14,16.8518,1.157,5902,-0.32,False
HIP 36439,HD 58855,112.4831549,49.6724594,5.35,F6V,2.4445560531834256,1.16,20.4021,1.292,6349,-0.28,False
HIP 38908,HD 65907 A,119.4454762,-60.3030719,5.592,F9.5V,1.2900305642179895,1.11,16.1718,1.052,5997,-0.31,False
HIP 40843,HD 69897,125.0160865,27.217705,5.13,F6V,2.4254928571094214,1.25,18.2233,1.32,6269,-0.28,False
